source_id,split,file,original_split,is_eval_sample
IMG_0688_JPG.jpg,train,IMG_0688_JPG.rf.3d59e39c27615ce6c66e80d58c60eb5c.jpg,train,False
IMG_0688_JPG.jpg,train,IMG_0688_JPG.rf.3e74bf97d172e97146ed6bbd8000d62f.jpg,valid,False
IMG_0688_JPG.jpg,train,IMG_0688_JPG.rf.773c211f1bc71d0fed6a31970f9ed6c1.jpg,test,False
IMG_0688_JPG.jpg,train,IMG_0688_JPG.rf.dedb2a2520e1574ff7c336331b096efa.jpg,train,False
IMG_0688_JPG.jpg,train,IMG_0688_JPG.rf.f82fda6a661c55cd134e73a21625b51d.jpg,train,False
IMG_0689_JPG.jpg,train,IMG_0689_JPG.rf.345eb2fa8c950671be19520b30cd3d8c.jpg,train,False
IMG_0689_JPG.jpg,train,IMG_0689_JPG.rf.46a288fade9c8bfdf44436d5bd4a4c44.jpg,valid,False
IMG_0689_JPG.jpg,train,IMG_0689_JPG.rf.acee56a190fa3ee643dadcd29eb2f871.jpg,train,False
IMG_0689_JPG.jpg,train,IMG_0689_JPG.rf.c0e979aa5bded8741c625aee5c7d6f26.jpg,test,False
IMG_0689_JPG.jpg,train,IMG_0689_JPG.rf.d52d6a7f41f6a6ca4aee9d2350435c7b.jpg,train,False
IMG_0690_JPG.jpg,train,IMG_0690_JPG.rf.0da0206e08de60d2f4ac4f13a3f18894.jpg,train,False
IMG_0690_JPG.jpg,train,IMG_0690_JPG.rf.4ce6500fbd41b037ac4f2b5487d02ebf.jpg,valid,False
IMG_0690_JPG.jpg,train,IMG_0690_JPG.rf.6ae97778ec0ee02af754d507f0914979.jpg,valid,False
IMG_0690_JPG.jpg,train,IMG_0690_JPG.rf.bc88368e37c6012ec18b5ff14a25e1d3.jpg,test,False
IMG_0690_JPG.jpg,train,IMG_0690_JPG.rf.f37c0250da0e15e9c66963cbe072adf9.jpg,valid,False
IMG_0692_JPG.jpg,train,IMG_0692_JPG.rf.4c5e8a35b55b64d1d8764b4767c844da.jpg,train,False
IMG_0692_JPG.jpg,train,IMG_0692_JPG.rf.572d33b03ecd627a5e0122fd853a0e30.jpg,train,False
